name,partyChanger,num,isFemale,isIndependent,isAkjol,isSDPK,isCommunist,isAtameken,isAtajurt,isRepublic,isArnamys,isBirbol,isKyrgyzstan,isOnuguu,isRepAtajurt,allParties,sozyv,party,sozyvMisser
Жапаров Акылбек Усенбекович,1,21,0,0,0,0,0,0,0,0,1,1,0,0,0,",,Ар-Намыс,Бир Бол",6,Бир Бол,1.0
Жапаров Садыр Нургожоевич,0,43,0,1,0,0,0,0,1,0,0,0,0,0,0,"Самовыдвиженец,,Ата-Журт,",3,Самовыдвиженец,2.0
Жапаров Садыр Нургожоевич,0,55,0,1,0,0,0,0,1,0,0,0,0,0,0,"Самовыдвиженец,,Ата-Журт,",5,Ата-Журт,2.0
Жеенчороев Мирлан Канатбекович,0,79,0,0,0,0,0,0,0,1,0,0,0,0,1,",,,Республика - Ата Журт",6,Республика - Ата Журт,
Жолдошбаев Камчыбек Жолдошбаевич,0,52,0,1,0,0,0,0,0,0,0,0,0,1,0,"Самовыдвиженец,,,Онугуу-Прогресс",3,Самовыдвиженец,3.0
Жолдошбаев Камчыбек Жолдошбаевич,0,63,0,1,0,0,0,0,0,0,0,0,0,1,0,"Самовыдвиженец,,,Онугуу-Прогресс",6,Онугуу-Прогресс,3.0
Жоошбеков Заирбек Сулайманович,0,95,0,0,0,1,0,0,0,0,0,0,0,0,0,",,СДПК,",5,СДПК,
Жоробеков Тариел Улукбекович,0,86,0,0,0,0,0,0,0,1,0,0,0,0,1,",,,Республика - Ата Журт",6,Республика - Ата Журт,
Жумабекова Турдукан Абдыкарыевна,0,62,1,0,1,0,0,0,0,0,0,0,0,0,0,",Ак Жол,,",4,Ак Жол,
Жумалиев Кубанычбек Мырзабекович,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,",,,Бир Бол",6,Бир Бол,
Жунус уулу Адыл,0,83,0,0,0,0,0,0,0,1,0,0,0,0,1,",,,Республика - Ата Журт",6,Республика - Ата Журт,
Жунус уулу Алтынбек,0,64,0,0,0,0,0,0,0,0,0,0,0,1,0,",,,Онугуу-Прогресс",6,Онугуу-Прогресс,
Журавлев Олег Владимирович,0,53,0,1,0,0,0,0,0,0,0,0,0,0,0,"Самовыдвиженец,,,",3,Самовыдвиженец,
Жутанов Алмаз Токтоназарович,0,68,0,0,0,0,0,0,0,0,0,0,0,1,0,",,,Онугуу-Прогресс",6,Онугуу-Прогресс,
Жылкыбаев Узарбек Казиевич,0,147,0,0,0,1,0,0,0,0,0,0,0,0,0,",,,СДПК",6,СДПК,
Жээнбеков Асылбек Шарипович,0,99,0,0,0,1,0,0,0,0,0,0,0,0,0,",СДПК,СДПК,СДПК",4,СДПК,1.0
Жээнбеков Асылбек Шарипович,0,111,0,0,0,1,0,0,0,0,0,0,0,0,0,",СДПК,СДПК,СДПК",5,СДПК,1.0
Жээнбеков Асылбек Шарипович,0,142,0,0,0,1,0,0,0,0,0,0,0,0,0,",СДПК,СДПК,СДПК",6,СДПК,1.0
Жээнбеков Равшан Бабырбекович,0,28,0,0,0,0,0,1,0,0,0,0,0,0,0,",,Ата Мекен,",5,Ата Мекен,
Зулпукаров Торобай Закирович,0,97,0,0,0,1,0,0,0,0,0,0,0,0,0,",,СДПК,СДПК",5,СДПК,1.0
Зулпукаров Торобай Закирович,0,113,0,0,0,1,0,0,0,0,0,0,0,0,0,",,СДПК,СДПК",6,СДПК,1.0
Зулушев Курманкул Токторалыевич,0,75,0,0,0,0,0,0,0,1,0,0,0,0,1,",,,Республика - Ата Журт",6,Республика - Ата Журт,
Ибрагимов Сергей Мухамедович,0,61,0,0,1,0,0,0,0,0,0,0,0,0,0,",Ак Жол,,",4,Ак Жол,
Ибраев Саматбек Кулукеевич,0,152,0,0,0,1,0,0,0,0,0,0,0,0,0,",,,СДПК",6,СДПК,
