name,isPartyConstant,partyCount,partyChanger,num,isFemale,isIndependent,isAkjol,isSDPK,isCommunist,isAtameken,isAtajurt,isRepublic,isArnamys,isAlga,isAdilet,isOther,isNodata,isBirbol,isKyrgyzstan,isOnuguu,isRepAtajurt,allParties,sozyv,party,sozyvMisser,idname
Бакир уулу Турсунбай,0,3,0,69,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"Нет данных,Нет данных,,,Ар-Намыс,",2,Нет данных,3.0,91
Бакир уулу Турсунбай,0,3,0,17,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"Нет данных,Нет данных,,,Ар-Намыс,",5,Ар-Намыс,3.0,91
Бакиров Мирлан Исакбекович,0,2,1,76,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,",,,,Республика,Онугуу-Прогресс",5,Республика,1.0,92
Бакиров Мирлан Исакбекович,0,2,1,56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,",,,,Республика,Онугуу-Прогресс",6,Онугуу-Прогресс,1.0,92
Бакиров Омурбек Мирзараимович,0,1,0,128,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,,,СДПК",6,СДПК,,93
Бакчиев Джаныбек Абдукапарович,0,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,",,,,,Бир Бол",6,Бир Бол,,94
Балтабаев Ташболот,0,2,0,68,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,",Нет данных,,,Ата Мекен,",2,Нет данных,3.0,95
Балтабаев Ташболот,0,2,0,36,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,",Нет данных,,,Ата Мекен,",5,Ата Мекен,3.0,95
Батыров Кадыржан Алымджанович,0,1,0,66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,Самовыдвиженец,,,",3,Самовыдвиженец,,96
Бекбоев Бакытбек Сагыналиевич,0,1,0,67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,",Нет данных,,,,",2,Нет данных,,97
Бекбоев Замир Исакович,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,",,,,Ар-Намыс,",5,Ар-Намыс,,98
Бекенова Зулхабира,0,1,0,70,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ак Жол,,",4,Ак Жол,,99
Бекешев Дастан Далабайевич,0,2,1,11,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,",,,,Ар-Намыс,СДПК",5,Ар-Намыс,1.0,100
Бекешев Дастан Далабайевич,0,2,1,139,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,",,,,Ар-Намыс,СДПК",6,СДПК,1.0,100
Бекматов Абдыжапар Гапырович,0,1,0,81,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,",,,,Республика,",5,Республика,,101
Бекназаров Азимбек Анаркулович,0,2,0,66,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,",Нет данных,другое,,,",2,Нет данных,1.0,102
Бекназаров Азимбек Анаркулович,0,2,0,71,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,",Нет данных,другое,,,",3,другое,1.0,102
Бешимбаева Айгерим Кабылбековна,0,1,0,105,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,",,,,,Республика - Ата Журт",6,Республика - Ата Журт,,103
Бешимов Бактыбек Джолчубекович,0,1,0,89,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,СДПК,,",4,СДПК,,104
