name,party_I,party_II,party_III,party_IV,party_V,party_VI,partyChanger,isFemale,allParties,partyCount,isPartyConstant
Жылкыбаев Узарбек Казиевич,,,,,,СДПК,0,0,",,,,,СДПК",1,False
Карашев Аалы Азимович,,,,,,СДПК,0,0,",,,,,СДПК",1,False
Сатыбалдиев Кыянбек Урмаматович,,,,,,СДПК,0,0,",,,,,СДПК",1,False
Ибраев Саматбек Кулукеевич,,,,,,СДПК,0,0,",,,,,СДПК",1,False
Бакир уулу Турсунбай,Самовыдвиженцы,Самовыдвиженцы,,,Ар-Намыс,,0,0,"Самовыдвиженцы,Самовыдвиженцы,,,Ар-Намыс,",3,False
Гусаров Игорь Константинович,,,,,Ар-Намыс,,0,0,",,,,Ар-Намыс,",1,False
Левина Татьяна Владимировна,,,,,Ар-Намыс,,0,1,",,,,Ар-Намыс,",1,False
Бекбоев Замир Исакович,,,,,Ар-Намыс,,0,0,",,,,Ар-Намыс,",1,False
Узакбаев Талантбек Макишович,,,,,Ар-Намыс,,0,0,",,,,Ар-Намыс,",1,False
Бадыкеева Нуржана Нуралиевна,,,,,Ар-Намыс,,0,1,",,,,Ар-Намыс,",1,False
Калматов Анарбек Баратович,,,,,Ар-Намыс,,0,0,",,,,Ар-Намыс,",1,False
Мамытов Токтокучук Болотбекович,,,,,Ар-Намыс,,0,0,",,,,Ар-Намыс,",1,False
Талиева Камила Абдыразаковна,,,,,Ар-Намыс,,0,1,",,,,Ар-Намыс,",1,False
Маматалиев Абдырахман Мадакимович,,,,,Ар-Намыс,,0,0,",,,,Ар-Намыс,",1,False
Торобеков Нурлан Надирович,,,,,Ар-Намыс,,0,0,",,,,Ар-Намыс,",1,False
Асымбекова Гульнара Уметовна,,,,,Ар-Намыс,,0,1,",,,,Ар-Намыс,",1,False
Туманов Кубанычбек Туманович,,,,,Ар-Намыс,,0,0,",,,,Ар-Намыс,",1,False
Мамырова Бодош Аманбаевна,,,,,Ар-Намыс,,0,1,",,,,Ар-Намыс,",1,False
Осмоналиев Каныбек,,,,,Ар-Намыс,,0,0,",,,,Ар-Намыс,",1,False
Маматов Бактыгул Арстанович,,,,,Ар-Намыс,,0,0,",,,,Ар-Намыс,",1,False
Кулов Феликс Шаршенбаевич,,,,,Ар-Намыс,,0,0,",,,,Ар-Намыс,",1,False
Исаков Эсенгул,,,,,Ар-Намыс,,0,0,",,,,Ар-Намыс,",1,False
Шер Болот,,Самовыдвиженцы,Движение Ата-Журт,,Ата Мекен,,1,0,",Самовыдвиженцы,Движение Ата-Журт,,Ата Мекен,",3,False
Самаков Карганбек Садыкович,,Самовыдвиженцы,Самовыдвиженцы,,Ата Мекен,,0,0,",Самовыдвиженцы,Самовыдвиженцы,,Ата Мекен,",3,False
Алымбеков Эркинбек Джумабаевич,,,Самовыдвиженцы,,Ата Мекен,,0,0,",,Самовыдвиженцы,,Ата Мекен,",2,False
Балтабаев Ташболот,,Самовыдвиженцы,,,Ата Мекен,,0,0,",Самовыдвиженцы,,,Ата Мекен,",2,False
Калмаматов Бактыбек,,,,,Ата Мекен,,0,0,",,,,Ата Мекен,",1,False
Айтматова Ширин,,,,,Ата Мекен,,0,1,",,,,Ата Мекен,",1,False
Жээнбеков Равшан Бабырбекович,,,,,Ата Мекен,,0,0,",,,,Ата Мекен,",1,False
Сабиров Равшанбек Азатович,,,,,Ата Мекен,,0,0,",,,,Ата Мекен,",1,False
Тологонов Райкан,,,,,Ата Мекен,,0,0,",,,,Ата Мекен,",1,False
Абдырахманов Омурбек,,,,,Ата Мекен,,0,0,",,,,Ата Мекен,",1,False
Садырбаева Гуласал,,,,,Ата Мекен,,0,1,",,,,Ата Мекен,",1,False
Мадылбеков Туратбек,,,,,Ата Мекен,,0,0,",,,,Ата Мекен,",1,False
Сасыкбаева Асия Айтбаевна,,,,,Ата Мекен,,0,1,",,,,Ата Мекен,",1,False
Сапарбаев Жоомарт Рахатович,,,,,Ата Мекен,,0,0,",,,,Ата Мекен,",1,False
Досалиев Акуналы Атамурзаевич,,,,,Ата Мекен,,0,0,",,,,Ата Мекен,",1,False
Кудайбергенов Джаныш Камчыбекович,,,Самовыдвиженцы,Ак Жол,Ата-Журт,,1,0,",,Самовыдвиженцы,Ак Жол,Ата-Журт,",3,False
Айдаров Нургазы Абдыраевич,,Самовыдвиженцы,,Ак Жол,Ата-Журт,,1,0,",Самовыдвиженцы,,Ак Жол,Ата-Журт,",3,False
Молдобаев Нарынбек,,,,Ак Жол,Ата-Журт,,1,0,",,,Ак Жол,Ата-Журт,",2,False
Джунусов Ибрагим Коджоназарович,,,,Ак Жол,Ата-Журт,,1,0,",,,Ак Жол,Ата-Журт,",2,False
Шин Роман Александрович,,,Алга Кыргызстан,Партия коммунистов,Ата-Журт,,1,0,",,Алга Кыргызстан,Партия коммунистов,Ата-Журт,",3,False
Султанов Марат Абдыразакович,,Самовыдвиженцы,Самовыдвиженцы,,Ата-Журт,,0,0,",Самовыдвиженцы,Самовыдвиженцы,,Ата-Журт,",3,False
Иманалиев Жусуп Умарович,,,Самовыдвиженцы,,Ата-Журт,,0,0,",,Самовыдвиженцы,,Ата-Журт,",2,False
Ташиев Камчыбек Кыдыршаевич,,,Самовыдвиженцы,,Ата-Журт,,0,0,",,Самовыдвиженцы,,Ата-Журт,",2,False
Келдибеков Ахматбек Келдибекович,,,Самовыдвиженцы,,Ата-Журт,,0,0,",,Самовыдвиженцы,,Ата-Журт,",2,False
Жапаров Садыр Нургожоевич,,,Самовыдвиженцы,,Ата-Журт,,0,0,",,Самовыдвиженцы,,Ата-Журт,",2,False
Нарматова Надира Азимовна,,,,,Ата-Журт,,0,1,",,,,Ата-Журт,",1,False
Абдиев Курмантай,,,,,Ата-Журт,,0,0,",,,,Ата-Журт,",1,False
Осмонова Нурзат Курманбековна,,,,,Ата-Журт,,0,1,",,,,Ата-Журт,",1,False
Мажитова Шарапаткан,,,,,Ата-Журт,,0,1,",,,,Ата-Журт,",1,False
Суракматов Азиз Эмильбекович,,,,,Ата-Журт,,0,0,",,,,Ата-Журт,",1,False
Осмонов Курманбек Эргешович,,,,,Ата-Журт,,0,0,",,,,Ата-Журт,",1,False
Эсеналиева Сымбат,,,,,Ата-Журт,,0,1,",,,,Ата-Журт,",1,False
Сулайманов Нурлан Чолпонбаевич,,,,,Ата-Журт,,0,0,",,,,Ата-Журт,",1,False
Иманалиева Эльмира Сансызбаевна,,,,,Ата-Журт,,0,1,",,,,Ата-Журт,",1,False
